Rec,Inf,UID,Name,Nat,2nd Nat,Age,Position,Club,Division,Wage,Mins,Height,Weight,Loan Expires,Expires,Min WD,Max AP,Max WD,Min AP,NP-xG/90,NP-xG,xGP/90,Clr/90,Int/90,Tck/90,Tck R,Tck W,Blk/90,Hdr %,Hdrs W/90,Poss Won/90,Pres A/90,Poss Lost/90,Pas %,Ps C/90,Pr passes/90,Asts/90,xA/90,Cr C/90,Drb/90,Shot %,Shot/90,ShT/90,xG/90,xG-OP,Gls/90,xG,Sprints/90
- - -,,29185231,Tom Mehew,ENG,,23,"DM, M (C)",Chippenham,Vanarama National League South,â¬475 p/w,4049,"6'1""",75 kg,-,30/5/2025,,-,,-,0.07,3.0,-,1.07,1.02,1.58,66%,71,0.33,45%,2.02,12.29,9.4,8.85,88%,46.34,3.89,0.11,0.17,0.13,0.47,19%,0.71,0.13,0.07,-1.0,0.04,3.0,8.62
- - -,,29173985,Alfie Payne,ENG,,24,"DM, M (C)",Braintree,Vanarama National League South,â¬350 p/w,4046,"5'10""",68 kg,-,30/6/2025,,-,,-,0.07,3.2,-,1.22,1.16,1.76,82%,79,0.36,44%,1.69,11.63,8.83,7.79,88%,46.31,4.76,0.11,0.13,0.13,0.76,33%,0.60,0.20,0.07,-0.2,0.07,3.2,9.21
- - -,,2000125469,Liam Humbles,ENG,,20,"DM, M (C)",Maidstone,Vanarama National League South,â¬450 p/w,3340,"5'11""",68 kg,29/6/2024,30/6/2025,,-,,-,0.07,2.53,-,1.32,0.89,1.72,74%,64,0.35,44%,1.78,11.16,9.57,8.11,88%,45.3,4.26,0.11,0.14,0.38,0.22,19%,0.70,0.13,0.09,-1.33,0.05,3.33,11.56
- - -,Lst,29164662,Justin Amaluzor,ENG,NGA,27,AM (R),Altrincham,Vanarama National League,â¬875 p/w,1268,"6'0""",80 kg,-,30/5/2025,,-,,-,0.24,3.41,-,1.21,2.13,1.7,75%,24,0.07,44%,3.26,4.26,10.43,15.76,85%,24.77,2.27,0.14,0.2,0.85,2.91,44%,1.92,0.85,0.24,-1.41,0.14,3.41,10.65
- - -,,29233181,Fraser Alexander,ENG,,21,"DM, M (C)",Bishop's Stortford,Vanarama National League North,â¬230 p/w,3943,"5'7""",63 kg,-,30/6/2024,,-,,-,0.09,3.86,-,2.15,1.42,1.92,81%,84,0.50,44%,2.17,8.49,10.23,7.21,88%,41.34,2.65,0.05,0.06,0.07,0.55,32%,1.37,0.43,0.09,-3.86,-,3.86,10.16
- - -,Wnt,29113873,Tyler Denton,ENG,,28,D (L),Scunthorpe,Vanarama National League North,"â¬1,100 p/w",3139,"5'9""",66 kg,-,30/6/2024,,-,,-,0.02,0.86,-,1.52,1.69,1.38,76%,48,0.52,44%,2.32,11.67,4.7,9.86,85%,49.66,5.62,0.09,0.1,0.46,0.54,22%,0.52,0.11,0.02,0.14,0.03,0.86,8.29
- - -,,2000040253,Harrison Nejman,ENG,,20,M (C),Alfreton,Vanarama National League North,"â¬1,000 p/w",2383,"5'10""",67 kg,29/6/2024,30/6/2025,,-,,-,0.16,4.19,-,1.02,1.36,1.89,77%,50,0.34,43%,2.23,6.53,9.93,8.61,85%,25.68,1.93,0.15,0.16,0.57,1.70,33%,1.25,0.42,0.16,2.81,0.26,4.19,11.25
- - -,Wnt,29194672,Will Dawes,ENG,,23,M/AM (L),Yeovil,Vanarama National League South,â¬525 p/w,1093,"6'1""",74 kg,-,30/6/2024,,-,,-,0.23,2.77,-,0.74,1.48,2.22,90%,27,0.66,43%,3.21,3.95,12.85,18.69,84%,26.6,1.32,-,0.12,0.49,2.80,45%,2.39,1.07,0.23,2.23,0.41,2.77,12.19
- - -,,2000086213,SebastiÃ¡n CortÃ©s,COL,,18,"DM, M (C)",Boston Utd,Vanarama National League North,"â¬1,700 p/w",1151,"6'0""",76 kg,30/6/2024,30/6/2026,,-,,-,0.06,0.82,-,1.17,1.09,2.19,85%,28,0.23,43%,2.50,8.91,9.62,5.55,89%,41.6,3.91,0.08,0.07,0.00,0.23,50%,0.63,0.31,0.06,0.18,0.08,0.82,7.43
- - -,Ctr,2000274729,Henry Young,ENG,,19,"DM, M (C)",Dover,Vanarama National League South,,2058,"6'0""",69 kg,-,-,,-,,-,0.06,1.3,-,1.75,1.22,1.92,88%,44,0.39,43%,1.75,8.0,9.4,7.96,87%,46.18,3.94,0.17,0.12,0.48,0.35,24%,0.74,0.17,0.06,-0.3,0.04,1.3,8.75
- - -,,2000120283,Ryan Carr,ENG,,19,"D (R), DM, M (C)",Dartford,Vanarama National League South,â¬575 p/w,2861,"5'10""",69 kg,29/6/2024,30/6/2025,,-,,-,0.06,1.78,-,1.48,1.07,1.98,75%,63,0.38,42%,1.54,13.31,9.12,6.89,88%,44.32,3.59,0.38,0.19,0.09,0.79,32%,0.79,0.25,0.06,1.22,0.09,1.78,9.81
- - -,Ctr,90091351,Nathan Newall,ENG,,22,D/WB (L),Alfreton,Vanarama National League North,,3796,"6'0""",76 kg,-,-,,-,,-,0.03,1.11,-,2.35,2.39,2.51,79%,106,0.92,42%,2.09,13.8,7.35,12.09,80%,32.77,4.41,0.17,0.08,0.47,1.33,19%,0.38,0.07,0.03,-1.11,-,1.11,13.02
- - -,,29243910,Tyrese Briscoe,ENG,,21,"AM (L), ST (C)",Hemel Hempstead,Vanarama National League South,â¬500 p/w,3706,"6'0""",77 kg,-,30/6/2025,,-,,-,0.16,6.5,-,1.34,1.60,2.09,91%,86,0.34,42%,3.21,4.86,11.05,18.53,86%,25.81,1.65,0.10,0.11,0.58,2.82,30%,1.36,0.41,0.16,-3.5,0.07,6.5,12.39
- - -,,28019949,Adam Barton,IRL,ENG,33,M (C),Curzon Ashton,Vanarama National League North,â¬300 p/w,2489,"6'2""",76 kg,-,30/6/2024,,-,,-,0.05,1.5,-,2.02,1.66,1.16,65%,32,0.58,42%,1.88,7.88,8.57,7.34,83%,32.11,3.0,0.11,0.05,0.14,0.40,42%,0.69,0.29,0.05,1.5,0.11,1.5,10.05
- - -,,29079175,Jak McCourt,ENG,,28,"DM, M (C)",Buxton,Vanarama National League North,â¬475 p/w,4147,"5'10""",68 kg,-,30/6/2024,,-,,-,0.03,1.51,-,1.13,1.26,1.32,77%,61,0.30,42%,1.76,6.92,6.77,5.71,88%,30.95,2.11,0.11,0.1,0.59,0.15,25%,0.61,0.15,0.03,-0.51,0.02,1.51,5.99
- - -,Wnt,2000066158,Antony Papadopoulos,ENG,CYP,21,"DM, M (C)",Welling,Vanarama National League South,,1730,"5'11""",68 kg,-,-,,-,,-,0.14,2.71,-,1.14,1.40,1.82,70%,35,0.26,42%,2.29,9.57,10.87,12.49,83%,37.72,4.06,0.31,0.25,0.10,0.78,30%,1.04,0.31,0.14,-2.71,-,2.71,6.97
- - -,,2000123314,Nathan Tinsdale,ENG,,18,"DM, M (C)",Peterborough Sports,Vanarama National League North,â¬475 p/w,1118,"5'11""",69 kg,30/6/2024,30/6/2025,,-,,-,0.11,1.34,-,1.45,1.61,1.77,88%,22,0.32,41%,2.25,7.73,11.19,7.89,86%,41.78,4.59,0.24,0.12,0.24,0.40,39%,1.85,0.72,0.11,0.66,0.16,1.34,13.93
- - -,,2000160252,George Wilkinson,ENG,,20,DM,Dover,Vanarama National League South,â¬120 p/w,3385,"5'9""",58 kg,-,30/6/2024,,-,,-,0.02,0.86,-,1.52,1.04,1.65,82%,62,0.48,41%,1.52,10.71,8.91,7.02,88%,46.53,3.43,0.24,0.15,0.29,0.43,33%,0.32,0.11,0.02,-0.86,-,0.86,9.97
- - -,,29210194,George Hunt,ENG,,22,"DM, M (C)",Hampton & Richmond,Vanarama National League South,â¬400 p/w,3262,"6'0""",74 kg,-,30/6/2026,,-,,-,0.07,2.7,-,1.41,0.94,1.74,82%,63,0.41,41%,1.55,12.72,8.83,6.98,89%,45.08,3.37,0.19,0.11,0.19,0.33,25%,0.77,0.19,0.07,-1.7,0.03,2.7,9.1
- - -,Ctr,28116004,Tyrese Dyce,ENG,,23,M/AM (L),Slough,Vanarama National League South,â¬350 p/w,3668,"5'9""",83 kg,-,-,,-,,-,0.15,6.17,-,1.57,1.45,2.26,89%,92,0.44,41%,2.82,4.51,10.58,17.15,85%,25.44,2.21,0.12,0.12,0.74,2.92,40%,1.18,0.47,0.15,0.83,0.17,6.17,11.16
- - -,,90013911,Sam Walker,ENG,,37,"DM, M (C)",King's Lynn,Vanarama National League North,â¬575 p/w,1519,"5'9""",83 kg,-,30/6/2024,,-,,-,0.05,0.88,-,1.42,1.07,1.66,67%,28,0.30,40%,1.72,8.41,11.14,10.01,87%,55.99,3.61,0.06,0.07,0.36,0.18,33%,1.24,0.41,0.05,0.12,0.06,0.88,10.55
- - -,,2000117453,Matty Grivosti,ENG,,21,AM (L),Warrington,Vanarama National League North,â¬300 p/w,2502,"5'10""",72 kg,-,30/6/2024,,-,,-,0.13,3.5,-,1.58,1.98,1.94,84%,54,0.50,40%,2.99,9.17,11.19,14.1,82%,28.85,2.77,0.18,0.18,0.72,2.66,26%,1.37,0.36,0.13,0.5,0.14,3.5,11.76
- - -,,29194204,Oliver Pendlebury,ENG,,22,M (C),Farnborough,Vanarama National League South,â¬400 p/w,4467,"5'9""",70 kg,-,30/6/2024,,-,,-,0.09,4.37,-,1.11,1.21,1.65,83%,82,0.34,40%,1.61,16.48,10.58,12.29,88%,40.58,3.77,0.20,0.16,0.52,0.77,35%,0.93,0.32,0.09,-0.37,0.08,4.37,9.41
- - -,,90024367,Glen Taylor,ENG,,34,ST (C),Spennymoor,Vanarama National League North,"â¬1,100 p/w",4198,"6'3""",86 kg,-,30/6/2025,,-,,-,0.49,22.81,-,0.36,0.73,0.69,82%,32,0.11,40%,6.45,4.52,3.67,6.62,79%,15.31,0.24,0.15,0.11,0.58,0.45,42%,3.39,1.44,0.59,-2.57,0.54,27.57,5.87
- - -,Wp,2000116243,Mohammad Dabre,ITA,,21,M (C),Tonbridge,Vanarama National League South,â¬525 p/w,2617,"6'0""",74 kg,-,-,,-,,-,0.09,2.74,-,1.31,1.10,1.41,75%,41,0.48,40%,1.96,10.42,9.84,15.65,86%,36.59,3.47,0.14,0.14,0.86,1.24,34%,1.10,0.38,0.09,1.26,0.14,2.74,8.05
- - -,Inj,29005420,Jacob Butterfield,ENG,,33,"DM, M (C)",Scunthorpe,Vanarama National League North,"â¬1,400 p/w",2910,"5'11""",77 kg,-,30/6/2024,,-,,-,0.07,2.19,-,0.46,1.11,1.33,63%,43,0.34,40%,1.11,6.87,7.48,9.03,88%,48.09,5.63,0.15,0.21,2.04,0.15,28%,1.11,0.31,0.07,0.81,0.09,2.19,9.19
- - -,,5124487,Nicky Deverdics,ENG,,36,M (C),Blyth,Vanarama National League North,â¬250 p/w,4388,"6'0""",80 kg,-,30/6/2025,,-,,-,0.09,4.57,-,0.37,1.29,1.11,87%,54,0.41,40%,1.09,5.85,12.14,11.96,88%,68.44,8.88,0.16,0.2,1.03,0.72,48%,1.54,0.74,0.3,5.13,0.41,14.87,7.4
- - -,IPR,29086214,Shep Murombedzi,ZIM,ENG,29,"DM, M (C)",Brackley,Vanarama National League North,â¬675 p/w,3802,"5'9""",70 kg,-,30/6/2025,,-,,-,0.05,2.22,-,1.85,1.56,2.65,73%,112,0.38,39%,1.75,8.62,9.71,6.25,90%,49.21,4.73,0.05,0.07,0.07,0.33,26%,0.83,0.21,0.05,0.78,0.07,2.22,8.83
- - -,Lst,29107438,Jack Bridge,ENG,,28,AM (L),Southend,Vanarama National League,"â¬1,700 p/w",3644,"5'10""",73 kg,-,30/6/2025,,-,,-,0.0,0.03,-,1.65,2.96,2.52,83%,102,0.74,39%,1.73,11.73,10.99,14.25,87%,36.03,4.08,0.10,0.12,1.58,2.03,50%,0.05,0.02,0.0,-0.03,-,0.03,13.34
- - -,,33068775,Scott Beeks,ENG,FIN,24,AM (C),Blyth,Vanarama National League North,â¬550 p/w,3854,"6'2""",73 kg,-,30/6/2025,,-,,-,0.41,17.67,-,0.49,1.12,0.65,62%,28,0.16,39%,2.45,4.11,8.22,8.66,86%,32.53,3.18,0.16,0.18,0.30,1.77,37%,2.71,1.00,0.41,1.33,0.44,17.67,6.47
- - -,,2000060517,Tolu Ladapo,ENG,NGA,20,AM (L),Weymouth,Vanarama National League South,â¬475 p/w,1146,"5'9""",70 kg,30/6/2024,30/6/2025,,-,,-,0.1,1.31,-,1.18,1.73,1.18,68%,15,0.63,39%,2.28,4.01,9.9,15.24,86%,25.52,1.73,-,0.05,0.63,2.28,29%,1.10,0.31,0.1,1.69,0.24,1.31,9.11
- - -,,2000190582,Destiny Ojo,ENG,,18,"AM (RL), ST (C)",Taunton,Vanarama National League South,â¬500 p/w,2077,"6'0""",86 kg,29/6/2024,30/6/2025,,-,,-,0.15,3.4,-,1.13,1.30,1.6,79%,37,0.56,39%,3.12,4.55,10.7,22.88,86%,25.31,1.82,0.09,0.08,0.52,1.91,47%,1.30,0.61,0.15,-0.4,0.13,3.4,11.92
- - -,,8611502,James Curtis,ENG,,42,D (C),Spennymoor,Vanarama National League North,â¬350 p/w,1965,"6'7""",88 kg,-,30/6/2024,,-,,-,0.05,1.03,-,1.33,0.69,0.96,75%,21,0.27,93%,7.92,13.33,1.97,9.39,80%,36.69,3.44,-,0.01,0.00,-,35%,0.78,0.27,0.05,-0.03,0.05,1.03,4.17
- - -,,90038888,Mark Jones,ENG,,34,ST (C),Peterborough Sports,Vanarama National League North,â¬350 p/w,2637,"6'3""",87 kg,-,30/6/2024,,-,,-,0.26,7.69,-,1.02,1.19,1.71,82%,50,0.24,39%,5.63,5.67,8.84,7.3,88%,25.8,1.16,0.10,0.07,0.00,0.58,56%,2.18,1.23,0.26,3.31,0.38,7.69,10.24
- - -,,29233888,Matty McDonald,ENG,,21,M/AM (C),Warrington,Vanarama National League North,â¬450 p/w,3562,"6'4""",86 kg,-,30/6/2025,,-,,-,0.19,7.34,-,1.26,2.17,2.12,82%,84,0.35,39%,2.80,8.72,11.22,9.65,86%,32.92,3.03,0.08,0.13,0.68,1.72,35%,1.59,0.56,0.19,-2.34,0.13,7.34,11.45
- - -,,2000054977,AndrÃ© Godfrinne,BEL,,21,ST (C),Bishop's Stortford,Vanarama National League North,â¬180 p/w,2017,"6'1""",83 kg,-,30/6/2024,,-,,-,0.32,7.24,-,0.67,0.54,0.89,71%,20,0.13,39%,6.02,3.66,4.82,5.44,86%,19.14,0.49,0.09,0.03,0.00,0.85,47%,2.36,1.12,0.32,-1.24,0.27,7.24,5.49
- - -,,2000122117,Ayyuba Jambang,ENG,PHI,19,D (R),Aveley,Vanarama National League South,â¬925 p/w,1980,"5'9""",68 kg,29/6/2024,30/6/2025,,-,,-,0.21,4.71,-,2.27,2.14,1.91,89%,42,0.41,39%,2.45,11.77,8.05,15.68,84%,39.18,5.59,-,0.02,0.32,1.00,21%,1.55,0.32,0.21,-2.71,0.09,4.71,16.18
- - -,,90069328,Dan Creaney,ENG,,29,ST (C),Tamworth,Vanarama National League North,â¬575 p/w,4326,"6'2""",87 kg,-,30/6/2025,,-,,-,0.49,23.47,-,0.67,0.89,0.67,58%,32,0.17,39%,6.89,4.54,5.33,6.05,85%,18.62,0.35,0.04,0.06,0.02,0.58,49%,2.75,1.35,0.49,3.53,0.56,23.47,5.7
- - -,,90043868,Tom Peers,ENG,,28,ST (C),Chester,Vanarama National League North,â¬350 p/w,1054,"5'11""",87 kg,-,30/6/2025,,-,,-,0.44,5.1,-,0.51,0.60,1.02,75%,12,-,38%,4.95,3.5,5.46,11.02,84%,20.83,0.68,0.17,0.12,0.34,0.77,41%,2.73,1.11,0.44,-1.1,0.34,5.1,4.44
- - -,,29223285,Adam Porter,ENG,,22,"DM, M (C)",Truro,Vanarama National League South,â¬350 p/w,4026,"5'8""",68 kg,-,30/6/2025,,-,,-,0.05,2.14,-,1.79,0.85,2.24,79%,100,0.36,38%,1.43,11.78,9.97,7.67,88%,43.88,4.16,0.09,0.05,0.20,0.51,24%,0.56,0.13,0.05,-2.14,-,2.14,11.09
- - -,,29091033,Dan Lawlor,ENG,,29,"DM, M (C)",Peterborough Sports,Vanarama National League North,â¬400 p/w,3822,"5'10""",79 kg,-,30/6/2024,,-,,-,0.07,3.02,-,1.74,1.51,2.68,72%,114,0.42,38%,1.32,9.02,10.71,11.99,86%,50.46,5.58,0.21,0.16,0.80,0.52,35%,1.67,0.59,0.16,2.02,0.21,6.98,11.35
- - -,Ret,28004617,Ryan Taylor,ENG,,36,ST (C),Alfreton,Vanarama National League North,â¬575 p/w,3595,"6'2""",82 kg,-,30/6/2024,,-,,-,0.35,13.9,-,0.88,0.65,0.83,63%,33,0.10,38%,6.01,3.61,4.86,5.78,83%,16.12,0.55,0.03,0.04,0.03,0.30,46%,2.38,1.10,0.49,1.55,0.53,19.45,7.24
- - -,Hol,29091260,David Moyo,ZIM,ENG,29,"AM (L), ST (C)",Chorley,Vanarama National League North,â¬350 p/w,1709,"6'0""",89 kg,-,30/6/2024,,-,,-,0.32,6.12,-,0.84,0.74,0.9,77%,17,0.21,38%,4.16,3.48,6.32,7.43,90%,24.17,1.26,0.11,0.08,0.21,1.16,44%,2.05,0.90,0.41,0.29,0.42,7.71,5.9
- - -,,2000137611,Luke Woolston,ENG,,19,"DM, M (C)",Spennymoor,Vanarama National League North,"â¬1,200 p/w",1677,"5'10""",69 kg,30/6/2024,30/6/2025,,-,,-,0.05,0.9,-,1.5,1.45,1.93,69%,36,0.16,38%,1.29,8.16,8.64,8.16,86%,46.53,5.21,0.11,0.08,0.00,0.32,31%,0.86,0.27,0.05,2.1,0.16,0.9,8.59
- - -,Wnt,2000118114,Sahid Nallo,ENG,,19,"DM, M (C)",Banbury,Vanarama National League North,â¬65 p/w,1035,"5'10""",71 kg,29/6/2024,30/6/2024,,-,,-,0.09,1.03,-,1.13,1.48,1.3,79%,15,0.17,38%,1.30,5.83,12.96,7.13,89%,42.87,2.96,-,0.05,0.00,0.96,25%,0.70,0.17,0.09,-0.03,0.09,1.03,5.83
- - -,,29108194,Jack Stobbs,ENG,,27,M/AM (R),Torquay,Vanarama National League South,â¬675 p/w,1041,"5'10""",74 kg,-,30/6/2025,,-,,-,0.13,1.51,-,0.95,1.64,0.95,69%,11,0.35,38%,2.07,4.5,10.03,13.57,84%,27.32,3.37,0.26,0.24,1.64,2.51,20%,0.86,0.17,0.13,-1.51,-,1.51,12.1
- - -,Inj,29150496,Giovanni McGregor,ENG,,25,M (C),Bishop's Stortford,Vanarama National League North,,2136,"5'9""",70 kg,-,-,,-,,-,0.17,3.93,-,0.97,1.69,2.15,85%,51,0.25,37%,2.70,7.25,8.55,16.6,87%,32.91,1.98,0.17,0.23,1.98,4.04,33%,1.77,0.59,0.17,-0.93,0.13,3.93,7.37
- - -,,29174576,Leon Davies,ENG,,24,D/WB (L),Braintree,Vanarama National League South,â¬450 p/w,4257,"6'1""",77 kg,-,30/6/2025,,-,,-,0.02,0.73,-,1.48,2.33,2.37,84%,112,0.74,37%,1.50,12.11,9.96,15.81,84%,29.24,3.81,0.08,0.18,1.14,1.78,50%,0.21,0.11,0.02,1.27,0.04,0.73,12.58
- - -,,28121312,Sam Packham,ENG,,22,D (R),Worthing,Vanarama National League South,â¬600 p/w,4090,"5'10""",69 kg,-,30/6/2024,,-,,-,0.15,6.91,-,1.58,1.94,1.98,84%,90,0.48,37%,1.78,14.72,7.09,11.0,84%,40.51,5.48,0.15,0.16,0.37,0.88,31%,1.30,0.40,0.15,0.09,0.15,6.91,13.03
- - -,,29217232,Kian Scales,ENG,,22,M (C),Scunthorpe,Vanarama National League North,"â¬1,200 p/w",3092,"5'11""",74 kg,-,30/6/2025,,-,,-,0.14,4.64,-,0.67,1.34,2.07,78%,71,0.23,37%,1.78,7.39,9.95,7.98,89%,44.94,3.03,0.15,0.13,0.15,1.11,35%,1.66,0.58,0.16,-2.44,0.09,5.44,10.25
- - -,,2000113748,Brad McGregor,ENG,,19,"WB (L), DM, M (C)",Hereford,Vanarama National League North,â¬375 p/w,3924,"5'8""",63 kg,29/6/2024,30/6/2025,,-,,-,0.05,2.35,-,1.56,1.24,2.02,68%,88,0.44,37%,1.19,7.94,11.63,9.04,86%,41.4,4.01,0.09,0.15,1.01,0.34,22%,1.15,0.25,0.05,-0.35,0.05,2.35,9.04
- - -,IPR,2000191835,Lucien Mahovo,ZIM,ENG,18,D (C),Alfreton,Vanarama National League North,â¬350 p/w,3741,"6'2""",75 kg,29/6/2024,30/6/2025,,-,,-,0.04,1.48,-,1.66,1.20,1.03,78%,43,0.58,89%,9.26,15.61,2.69,9.74,79%,37.41,2.69,-,0.02,0.00,0.05,36%,0.53,0.19,0.04,0.52,0.05,1.48,6.66
- - -,,29194266,Alfie Bates,ENG,,23,"DM, M (C)",Brackley,Vanarama National League North,â¬825 p/w,4233,"5'7""",64 kg,-,30/6/2024,,-,,-,0.09,4.26,-,0.85,1.64,1.98,76%,93,0.47,37%,1.42,8.19,10.25,10.76,85%,44.27,5.02,0.34,0.23,1.30,0.60,32%,1.38,0.45,0.09,0.74,0.11,4.26,10.27
- - -,Loa,61042645,Cammy Smith,SCO,,28,AM (C),Woking,Vanarama National League,â¬600 p/w,1090,"5'9""",62 kg,-,30/6/2025,,-,,-,0.21,2.53,-,0.91,1.32,1.49,90%,18,0.25,36%,2.23,6.19,10.32,25.76,85%,26.75,1.57,-,0.03,0.08,1.24,13%,1.32,0.17,0.21,-2.53,-,2.53,8.42
- - -,Int,29236490,Nahum Melvin-Lambert,LCA,ENG,21,ST (C),Weymouth,Vanarama National League South,â¬700 p/w,2872,"6'1""",78 kg,-,30/6/2025,,-,,-,0.12,3.76,-,0.34,0.97,0.88,74%,28,0.19,36%,3.73,1.54,5.14,16.95,89%,19.71,0.44,0.03,0.07,0.19,1.03,56%,1.13,0.63,0.12,6.24,0.31,3.76,5.64
- - -,,2000102538,Murphy Bennett,WAL,,19,"DM, M (C)",Hemel Hempstead,Vanarama National League South,â¬475 p/w,1837,"5'10""",73 kg,29/6/2024,30/6/2025,,-,,-,0.05,0.97,-,1.13,1.86,1.86,75%,38,0.39,36%,1.47,9.01,10.04,17.54,86%,40.08,3.48,0.10,0.12,0.05,0.59,30%,0.49,0.15,0.05,1.03,0.10,0.97,7.15
- - -,Hol,29110602,Billy Whitehouse,ENG,,27,M/AM (R),Chorley,Vanarama National League North,â¬650 p/w,3971,"5'11""",73 kg,-,30/6/2025,,-,,-,0.17,7.42,-,1.75,1.31,1.63,81%,72,0.34,36%,2.47,6.75,10.43,14.57,86%,34.63,3.11,0.23,0.18,1.09,3.01,52%,1.36,0.70,0.17,0.58,0.18,7.42,12.65
- - -,,2000115007,Murtadha Al-Jahadhmy,ENG,,20,"M (RL), AM (RLC)",Banbury,Vanarama National League North,â¬100 p/w,3654,"6'0""",70 kg,-,30/6/2024,,-,,-,0.16,6.62,-,0.89,1.48,1.53,89%,62,0.52,36%,2.61,5.44,9.9,12.29,85%,25.69,2.76,0.15,0.17,0.59,2.34,33%,1.43,0.47,0.16,-0.62,0.15,6.62,6.35
- - -,,2000146811,Harrison Smith,ENG,,19,ST (C),Dover,Vanarama National League South,â¬400 p/w,3178,"6'0""",76 kg,29/6/2024,30/6/2024,,-,,-,0.27,9.64,-,0.85,0.82,0.99,71%,35,0.25,36%,4.22,2.38,6.26,19.12,86%,20.14,0.96,0.08,0.12,0.20,0.65,49%,1.84,0.91,0.27,4.36,0.40,9.64,4.98
- - -,,89061767,Craig Fasanmade,ENG,,23,"AM (RL), ST (C)",Chippenham,Vanarama National League South,â¬350 p/w,3085,"5'10""",69 kg,-,30/6/2025,,-,,-,0.14,4.94,-,0.88,1.40,1.6,87%,55,0.20,36%,3.06,2.16,7.59,19.66,84%,23.83,1.6,0.15,0.06,0.44,1.75,41%,1.72,0.70,0.14,1.06,0.18,4.94,9.51
- - -,,29058039,Darren Stephenson,JAM,ENG,31,ST (C),Farsley,Vanarama National League North,â¬400 p/w,4124,"6'0""",78 kg,-,30/6/2024,,-,,-,0.29,13.12,-,1.05,1.16,1.29,73%,59,0.31,36%,4.52,6.22,6.85,9.49,85%,24.99,1.51,0.07,0.12,0.28,1.72,40%,2.90,1.16,0.3,1.09,0.33,13.91,7.94
- - -,,2000101289,Daniel Ogwuru,ENG,NGA,19,ST (C),Chelmsford,Vanarama National League South,"â¬2,300 p/w",2686,"6'0""",77 kg,29/6/2024,30/6/2026,,-,,-,0.36,10.6,-,0.84,0.97,0.84,71%,25,0.17,35%,4.12,3.12,6.53,13.24,90%,21.41,0.74,0.07,0.11,0.07,0.87,39%,2.68,1.04,0.36,-0.6,0.34,10.6,6.43
- - -,,52061165,Ola Adeyemo,NGA,IRL,29,ST (C),Slough,Vanarama National League South,â¬220 p/w,2164,"6'0""",77 kg,-,30/6/2024,,-,,-,0.15,3.65,-,0.37,0.58,1.0,75%,24,0.21,35%,4.53,1.16,5.45,23.37,87%,19.76,0.75,-,0.03,0.08,0.79,32%,1.16,0.37,0.19,-2.46,0.08,4.46,5.53
- - -,,2000144689,Ben Beresford,ENG,,19,ST (C),Braintree,Vanarama National League South,â¬475 p/w,1094,"6'2""",83 kg,30/6/2024,30/6/2025,,-,,-,0.17,2.11,-,0.41,0.99,1.07,68%,13,0.08,35%,4.11,2.14,5.1,18.51,84%,19.83,0.66,0.08,0.06,0.00,0.66,55%,2.39,1.32,0.17,1.89,0.33,2.11,6.42
- - -,,29113880,Alex Purver,ENG,,28,"DM, M (C)",Scarborough Athletic,Vanarama National League North,â¬675 p/w,3673,"5'10""",67 kg,-,30/6/2026,,-,,-,0.1,4.06,-,1.32,1.37,2.74,74%,112,0.56,35%,1.74,9.92,11.1,7.89,87%,47.17,5.61,0.07,0.09,0.05,0.61,33%,1.20,0.39,0.1,-2.06,0.05,4.06,11.93
- - -,,29240039,Siyabonga Ligendza,RSA,ENG,21,ST (C),Eastbourne Borough,Vanarama National League South,â¬575 p/w,2360,"5'10""",76 kg,-,30/6/2024,,-,,-,0.4,10.51,-,0.61,0.92,0.46,80%,12,0.23,34%,4.04,1.26,5.45,19.37,87%,20.78,0.61,0.08,0.17,0.08,1.03,44%,3.97,1.75,0.4,1.49,0.46,10.51,6.22
- - -,,89022338,Cody Cooke,ENG,,31,ST (C),Bath City,Vanarama National League South,â¬575 p/w,2611,"6'1""",75 kg,-,30/6/2026,,-,,-,0.25,7.21,-,0.79,0.65,0.86,71%,25,0.14,34%,3.93,2.17,5.62,16.55,91%,20.82,1.03,0.10,0.09,0.03,0.38,53%,1.90,1.00,0.36,0.59,0.38,10.41,5.55
- - -,,2000147435,Harry Titchmarsh,ENG,,19,"DM, M (C)",Havant & W,Vanarama National League South,â¬400 p/w,3334,"5'10""",70 kg,29/6/2024,30/6/2025,,-,,-,0.05,1.67,-,1.35,1.30,1.81,71%,67,0.49,34%,1.19,12.53,9.58,6.45,88%,44.49,3.59,0.19,0.15,0.16,0.73,19%,0.57,0.11,0.05,0.33,0.05,1.67,9.8
- - -,Int,2000154221,Jermaine Francis,GRN,ENG,22,AM (RL),Chelmsford,Vanarama National League South,â¬375 p/w,3444,"5'7""",62 kg,-,30/6/2026,,-,,-,0.13,4.98,-,1.05,1.72,1.99,84%,76,0.39,34%,2.48,6.19,10.92,14.95,84%,26.18,2.93,0.13,0.24,0.73,2.53,39%,1.20,0.47,0.13,1.02,0.16,4.98,12.65
- - -,,29236394,Joseph Ajose,ENG,,22,AM (RL),St. Albans,Vanarama National League South,â¬825 p/w,2458,"6'1""",77 kg,29/6/2024,30/6/2024,,-,,-,0.18,4.88,-,0.84,2.23,1.39,84%,38,0.40,34%,2.34,4.94,10.44,17.47,85%,27.02,2.09,0.18,0.15,0.37,2.01,31%,1.17,0.37,0.18,0.12,0.18,4.88,10.29
