Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- -  -,,2000058759,Max Kilsby,,22,"D (LC), WB (L)",Left,"6'0""",-,Newtown,JD Cymru Premier,€230 p/w,30/6/2027,Unknown,"1,494",-,-,0.06,1.07,-,-0.71,0.04,0,-,-,0.71,0.04,-,-,0,-,5.24,0.06,1.08,2.29,-,3.61,10%,0.36,199.9km,12.0km,0.48,-,0.14,-,-,1.08,4.16,11.63,79%,32,1.93,69,0.36,22,80%,738,44.46,593,35.72,11.51,15.54,119,7.17,33,1.99,95,5.72,5,1,0.06,9,0.54,0.06,20%,0.30,91%,46,42,2.53,0,8,60,38,18,87,0,D (L),-,-,-,-,-
- -  -,Ama,2000037847,Ben Kershaw,Fairly Determined,22,"D (C), DM, M (C)",Right,"6'2""",-,Penybont,JD Cymru Premier,N/A,-,€0,"1,504",-,-,0.14,2.39,-,-0.84,0.05,0,-,-,0.84,0.05,-,-,0,-,4.91,0.30,0.72,1.68,-,0.48,-,0.00,220.7km,13.2km,0.24,-,0.08,-,-,2.63,2.27,10.17,46%,21,1.26,38,0.48,35,88%,876,52.42,772,46.20,6.94,9.39,151,9.04,31,1.86,60,3.59,10,1,0.24,1,0.06,0.06,10%,0.60,87%,31,27,1.62,2,4,8,28,12,82,1,M (C),-,-,-,-,-
- -  -,,90012441,Alex Kenyon,Fairly Determined,33,"D (C), DM, M (C)",Left Only,"5'11""",€800 p/w,Eastleigh,Vanarama National League,€550 p/w,30/6/2026,€0,164,-,-,0.00,0.00,-,-0.10,0.05,0,-,-,0.10,0.05,-,-,0,-,7.68,-,0.55,1.65,-,0.55,-,0.00,18.2km,10.0km,-,-,0.05,-,-,5.49,2.20,7.13,29%,2,1.10,4,0.55,2,91%,92,50.49,84,46.10,6.04,9.88,8,4.39,4,2.20,5,2.74,2,0,0.55,2,1.10,0.00,0%,1.10,75%,4,3,1.65,0,0,1,3,1,14,0,D (C),-,-,-,-,-
- -  -,,2000130135,Harvey Kedwell,Determined,21,"DM, M (C)",Right,"5'11""",€525 p/w,Concord,Vanarama National League South,€250 p/w,30/6/2026,€1K - €8K,"1,984",-,-,0.12,2.66,"1,984.00",-0.57,0.07,1,-,0.05,1.57,0.07,-,-,0,-,3.45,0.14,0.14,1.13,7%,1.77,18%,0.23,277.8km,12.6km,0.64,-,0.10,-,-,2.49,0.95,8.98,28%,35,1.59,21,0.23,39,84%,"1,132",51.35,952,43.19,7.62,13.61,198,8.98,57,2.59,94,4.26,15,2,0.18,2,0.09,0.09,13%,0.68,78%,58,45,2.04,0,14,39,25,3,76,0,M (C),-,-,-,-,-
- -  -,FrA,2000110286,David Kawa,,22,AM (RL),Right Only,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,FrA,29158372,Louis Jones,,27,GK,Right,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,Ctr,2000183394,Liam Jones,Balanced,20,"D (L), AM (LC), ST (C)",Left,"5'9""",€825 p/w,Tamworth,Vanarama National League North,N/A,-,Unknown,200,-,-,0.12,0.26,-,-0.76,0.34,0,-,-,0.76,0.34,-,-,0,-,8.10,0.45,-,2.70,-,7.20,-,0.00,29.6km,13.3km,2.70,-,0.19,-,-,6.75,1.35,7.65,17%,2,0.90,3,0.00,3,81%,75,33.75,61,27.45,15.30,4.05,16,7.20,3,1.35,8,3.60,4,1,0.90,0,0.00,0.45,25%,1.80,100%,3,3,1.35,1,6,16,6,0,18,0,ST (C),-,-,-,-,-
- -  -,,28056464,Joey Jones,Balanced,31,"D (C), DM, M (C)",Left,"6'1""",€275 p/w,Ards,Playr-Fit Championship,€80 p/w,30/6/2026,€0,"2,501",-,-,0.09,2.61,"1,250.50",-0.45,0.09,2,-,0.07,2.45,0.09,-,-,0,-,1.62,0.11,0.07,0.40,13%,0.25,14%,0.04,96.1km,3.5km,0.07,-,0.15,-,-,0.94,0.68,2.45,42%,10,0.36,19,0.14,10,75%,761,27.39,568,20.44,2.84,3.96,76,2.73,20,0.72,29,1.04,16,4,0.07,0,0.00,0.14,25%,0.58,88%,58,51,1.84,1,2,7,11,2,45,0,D (C),-,-,-,-,-
- -  -,,95035485,James Jones,Fairly Loyal,28,D (RC),Right,"6'0""",N/A,Chester,Vanarama National League North,€375 p/w,30/6/2026,€6K - €22K,"2,532",-,-,0.02,0.59,"2,532.00",-0.40,0.05,1,-,0.04,1.40,0.05,-,-,0,-,9.81,-,0.28,1.74,6%,0.28,-,0.00,313.3km,11.1km,0.11,-,0.09,-,-,1.60,8.21,5.83,84%,42,1.49,231,0.92,2,83%,"1,566",55.66,"1,298",46.14,9.99,15.53,82,2.91,26,0.92,106,3.77,16,3,0.07,4,0.14,0.11,19%,0.57,82%,39,32,1.14,0,3,8,49,8,276,1,D (C),-,-,-,-,-
- -  -,Wnt,2000187647,Mason Johnson,Balanced,20,M/AM (LC),Left,"6'2""",€525 p/w,Alfreton,Vanarama National League North,N/A,-,€0,774,-,-,0.12,1.03,129.00,3.88,0.25,6,-,0.70,2.12,0.25,-,-,0,-,8.84,0.12,0.35,1.28,40%,1.51,7%,0.12,118.9km,13.8km,1.63,-,0.14,-,-,4.42,4.42,11.40,50%,7,0.81,38,0.00,9,84%,337,39.19,282,32.79,10.81,5.58,79,9.19,12,1.40,18,2.09,15,6,0.58,0,0.00,0.70,40%,1.74,69%,13,9,1.05,2,14,13,11,3,76,1,AM (L),-,-,-,-,-
- -  -,,2000051396,Fenton John,,22,M/AM (C),Left,"5'10""",-,Radcliffe,Vanarama National League North,€375 p/w,30/6/2026,Unknown,"2,666",-,-,0.16,4.83,666.50,-2.58,0.22,4,-,0.14,2.62,0.09,-,-,1,-,3.58,0.14,0.27,1.45,9%,2.40,23%,0.51,357.6km,12.1km,1.45,-,0.14,-,-,2.80,0.78,4.83,22%,52,1.76,23,0.03,47,89%,"1,552",52.39,"1,384",46.72,8.51,6.89,240,8.10,57,1.92,145,4.89,46,15,1.15,4,0.14,0.51,33%,1.55,77%,60,46,1.55,3,43,71,43,8,106,0,M (C),-,-,-,-,-
- -  -,,90094864,Will Jenkins,Balanced,23,"DM, M (C), AM (LC)",Left,"5'9""",-,Ashton Utd,English Northern Premier League Premier Division,€275 p/w,30/6/2026,€0 - €30K,"2,719",-,-,0.06,1.73,-,-2.15,0.07,0,-,-,2.15,0.07,-,-,0,-,3.54,-,0.17,1.49,-,0.86,28%,0.17,370.3km,12.3km,0.70,-,0.11,-,-,2.25,1.29,9.07,36%,41,1.36,39,0.07,39,88%,"1,562",51.70,"1,376",45.55,6.49,8.37,280,9.27,85,2.81,128,4.24,20,3,0.30,2,0.07,0.10,15%,0.66,80%,82,66,2.18,1,21,26,45,5,107,0,M (C),-,-,-,-,-
- -  -,FrA,29162660,Bradley James,,26,GK,Right,"6'1""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,,2002081381,Aidan Ireland,Balanced,19,D/WB (R),Right,"5'11""",€825 p/w,Brechin,Highland Football League,€240 p/w,31/5/2028,€8K - €30K,"2,709",-,-,0.10,2.96,903.00,-1.59,0.15,3,-,0.10,4.59,0.15,-,-,2,-,5.78,0.20,0.53,1.76,5%,3.19,22%,0.73,352.0km,11.7km,0.50,-,0.08,-,-,2.79,2.99,14.19,52%,60,1.99,90,0.33,39,86%,"1,349",44.82,"1,165",38.70,15.02,16.31,185,6.15,62,2.06,141,4.68,58,12,0.73,6,0.20,0.40,21%,1.93,75%,72,54,1.79,4,15,96,53,16,174,0,D (R),-,-,-,-,-
- -  -,Ctr,89071020,Nick Hutton,Balanced,24,M/AM (RL),Right,"5'6""",€300 p/w,St. Ives,English Southern League Premier Central,N/A,-,€0,458,-,-,0.10,0.53,458.00,0.17,0.16,1,-,0.20,0.83,0.16,-,-,0,-,-,0.20,-,0.00,11%,0.00,-,0.00,0.0km,0.0km,-,-,0.09,-,-,-,-,0.00,-,0,-,-,0.00,0,68%,120,23.58,82,16.11,0.00,0.00,0,0.00,0,0.00,0,0.00,9,5,0.00,0,0.00,0.98,56%,1.77,75%,8,6,1.18,0,0,0,0,0,0,0,AM (R),-,-,-,-,-
- -  -,Loa,2000047208,James Huntley,Fairly Professional,21,M/AM (C),Right,"5'9""",-,Barrow,Sky Bet League Two,€400 p/w,30/6/2026,€20K - €200K,383,-,-,0.40,1.72,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,3.29,0.47,-,1.64,-,0.70,66%,0.47,53.6km,12.6km,0.23,-,0.00,-,-,2.11,1.17,6.58,36%,6,1.41,5,0.00,11,90%,195,45.82,175,41.12,16.68,6.81,42,9.87,13,3.05,21,4.93,0,-,0.00,0,0.00,-,-,-,80%,10,8,1.88,0,1,3,7,0,14,0,M (C),-,-,-,-,-
- -  -,FrA,29236628,Jake Hull,,24,D (C),Right Only,"6'6""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,FrA,29139703,Mathew Hudson,,27,GK,Right,"6'4""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,,2000137605,Max Howells,,21,"AM (R), ST (C)",Right,"5'8""",-,FC Halifax,Vanarama National League,"€1,700 p/w",30/6/2028,Unknown,"1,861",-,-,0.17,3.43,372.20,2.16,0.14,5,-,0.24,2.84,0.14,-,-,0,-,5.42,0.15,0.10,1.06,11%,6.19,15%,0.97,250.2km,12.1km,3.19,-,0.06,-,-,4.26,1.16,9.58,21%,24,1.16,24,0.05,42,87%,701,33.90,609,29.45,14.85,3.29,202,9.77,48,2.32,63,3.05,44,18,0.97,0,0.00,0.87,41%,2.13,79%,42,33,1.60,8,66,128,22,2,112,0,AM (R),-,-,-,-,-
- -  -,Wnt,29191611,Branden Horton,,25,D/M (L),Left,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
- -  -,,90094865,Sam Hodgson,Balanced,24,ST (C),Right Only,"5'10""",€850 p/w,Guiseley,English Northern Premier League Premier Division,€750 p/w,30/6/2026,€6K - €18K,"2,269",-,-,0.09,2.38,252.11,3.40,0.22,9,-,0.36,5.60,0.22,-,-,0,-,9.36,0.12,0.04,0.52,21%,0.99,24%,0.24,248.2km,9.8km,0.71,-,0.13,-,-,8.05,1.31,4.28,14%,12,0.48,33,0.04,22,81%,561,22.25,456,18.09,15.35,0.75,111,4.40,38,1.51,19,0.75,43,21,0.56,0,0.00,0.83,49%,1.71,64%,45,29,1.15,15,18,25,13,1,236,1,ST (C),-,-,-,-,-
- -  -,Ctr,2000106869,Dylan Hill,Balanced,21,"D/WB (R), M (C)",Right,"5'6""",€425 p/w,Boston Utd,Vanarama National League North,N/A,-,€0,274,-,-,0.27,0.81,-,-0.46,0.15,0,-,-,0.46,0.15,-,-,0,-,2.96,0.66,0.66,0.99,-,7.88,36%,2.96,43.5km,14.3km,1.31,-,0.15,-,-,2.30,0.66,17.41,22%,5,1.64,2,0.00,6,85%,134,44.01,114,37.45,12.48,6.90,37,12.15,7,2.30,14,4.60,3,0,0.66,0,0.00,0.00,0%,0.99,83%,12,10,3.28,1,4,24,3,2,9,0,M (C),-,-,-,-,-
- -  -,,2000108265,Luke Hewitson,,21,GK,Right Only,"6'1""",-,Buxton,Vanarama National League North,€425 p/w,30/6/2026,€18K - €65K,"3,240",0.22,1.50,0.01,0.39,-,0.00,0.00,0,54,-,0.00,0.00,0,0%,0,1,-,-,-,11.22,-,-,-,-,222.9km,6.2km,-,-0.40,0.00,-14.57,81%,-,-,0.14,-,23,0.64,-,0.00,1,54%,709,19.69,383,10.64,12.31,5.67,0,0.00,0,0.00,41,1.14,0,-,-,-,-,-,-,-,0%,4,0,0.00,0,0,-,-,-,-,-,GK,8,56%,40,17,10
- -  -,,29157526,Ben Hedley,Balanced,27,D/WB (RL),Right Only,"5'10""",€700 p/w,Radcliffe,Vanarama National League North,€575 p/w,30/6/2026,€0 - €45K,"2,416",-,-,0.17,4.66,"2,416.00",-0.94,0.07,1,-,0.04,1.15,0.04,-,-,0,-,6.33,0.11,0.86,1.86,6%,8.83,10%,1.56,343.9km,12.8km,1.08,-,0.11,-,-,1.15,5.18,15.98,82%,70,2.61,139,1.08,64,84%,"1,256",46.79,"1,051",39.15,14.12,13.04,193,7.19,52,1.94,132,4.92,18,5,0.48,10,0.37,0.19,28%,0.67,87%,76,66,2.46,0,29,237,50,23,170,0,D (R),-,-,-,-,-
- -  -,,2000054213,Adam Hayton,Balanced,21,GK,Left Only,"6'0""",€950 p/w,Southport,Vanarama National League North,€400 p/w,30/6/2026,€26K - €80K,"3,240",0.31,1.42,0.01,0.27,-,0.00,0.00,0,51,-,0.00,0.00,2,25%,0,2,-,-,-,11.86,-,-,-,-,148.1km,4.1km,-,-0.00,0.00,-0.17,83%,-,-,0.11,-,13,0.36,-,0.03,1,40%,679,18.86,271,7.53,14.61,7.19,0,0.00,0,0.00,66,1.83,0,-,-,-,-,-,-,-,25%,8,2,0.06,0,0,-,-,-,-,-,GK,11,70%,43,31,29
- -  -,,2000254190,Conor Haughey,Driven,18,"D (C), DM, M (C)",Right,"5'9""",-,Curzon Ashton,Vanarama National League North,€325 p/w,30/6/2026,€45K - €450K,"2,644",-,-,0.03,1.02,-,-0.23,0.01,0,-,-,0.23,0.01,-,-,0,-,4.97,-,0.48,2.21,-,0.27,12%,0.03,332.2km,11.3km,0.10,-,0.04,-,-,2.76,2.21,3.03,45%,48,1.63,65,0.37,7,85%,"1,415",48.17,"1,196",40.71,7.90,9.29,156,5.31,44,1.50,88,3.00,6,0,0.20,8,0.27,0.00,0%,0.20,88%,40,35,1.19,0,3,8,65,14,146,0,D (C),-,-,-,-,-
- -  -,FrA,29217663,Lirak Hasani,,23,"DM, M (C)",Right,"6'0""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,FrA,28116339,Will Harris,,25,"AM (RLC), ST (C)",Right,"6'2""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,,28106570,Louis Hall,Balanced,26,D/WB (L),Left Only,"6'0""",-,Banbury,Vanarama National League North,€375 p/w,30/6/2026,€0 - €20K,"3,117",-,-,0.13,4.43,-,-1.47,0.04,0,-,-,1.47,0.04,-,-,0,-,6.38,0.09,0.95,2.11,-,8.23,9%,0.87,444.6km,12.8km,1.24,-,0.07,-,-,2.51,3.87,14.47,61%,86,2.48,134,0.43,64,86%,"1,417",40.91,"1,215",35.08,12.79,13.97,220,6.35,54,1.56,154,4.45,20,11,0.38,20,0.58,0.32,55%,0.58,87%,119,104,3.00,3,43,285,73,33,221,0,D (L),-,-,-,-,-
- -  -,FrA,29165372,Connor Hall,,27,ST (C),Right Only,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ST (C),-,-,-,-,-
- -  -,Loa,2000207722,Evan Haddock,Fairly Determined,20,D (C),Right Only,"6'4""",€700 p/w,Cork City,Irish Premier Division,€170 p/w,30/11/2026,€0 - €28K,3,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,0.0km,-,-,-,0.00,-,-,-,-,-,-,0,-,-,-,0,100%,2,-,2,-,-,-,0,-,0,-,0,-,0,-,-,0,-,-,-,-,-,0,-,-,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,Ctr,28094135,Evan Gumbs,Fairly Determined,28,D (RC),Right,"5'10""",-,Leek,English Northern Premier League Division One West,N/A,-,€0,90,-,-,0.00,0.00,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.00,-,-,-,-,0.00,-,0,-,-,0.00,0,75%,20,20.00,15,15.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,0.00,0,0.00,-,-,-,100%,3,3,3.00,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,Wnt,2000217748,Luke Grimshaw,,20,D (C),Right,"6'1""",-,Kettering,English Southern League Premier Central,€130 p/w,30/6/2026,Unknown,630,-,-,0.06,0.42,315.00,1.55,0.06,2,-,0.29,0.45,0.06,-,-,0,-,9.43,0.14,-,0.86,33%,0.14,-,0.00,76.7km,11.0km,-,-,0.07,-,-,3.57,5.86,3.86,62%,10,1.43,41,1.57,2,92%,380,54.29,350,50.00,3.57,17.00,15,2.14,8,1.14,25,3.57,6,4,0.57,8,1.14,0.57,67%,0.86,75%,8,6,0.86,0,0,1,6,0,66,0,D (C),-,-,-,-,-
- -  -,,2000136694,Jack Griffiths,,20,M/AM (C),Right,"5'9""",-,Coalville,English Southern League Premier Central,€425 p/w,30/6/2026,Unknown,"2,790",-,-,0.07,2.10,"1,395.00",-1.09,0.10,2,-,0.06,3.09,0.10,-,-,1,-,0.13,0.13,0.03,0.10,5%,0.03,100%,0.03,11.4km,0.4km,-,-,0.08,-,-,0.10,0.03,0.16,25%,3,0.10,1,0.00,1,70%,630,20.32,441,14.23,0.19,0.19,3,0.10,1,0.03,0,0.00,39,11,0.00,1,0.03,0.35,28%,1.26,77%,39,30,0.97,0,0,1,3,1,4,0,M (C),-,-,-,-,-
- -  -,,29229012,Oliver Green,Balanced,22,"DM, M (C)",Right,"6'3""",-,Haverfordwest,JD Cymru Premier,€250 p/w,30/6/2026,€0 - €5K,"1,931",-,-,0.25,5.33,-,-1.38,0.06,0,-,-,1.38,0.06,-,-,0,-,5.27,0.14,0.47,1.21,-,3.08,20%,0.37,268.0km,12.5km,0.47,-,0.08,-,-,3.12,2.14,8.95,41%,25,1.17,46,0.33,28,88%,"1,118",52.11,980,45.68,6.90,13.42,206,9.60,63,2.94,81,3.78,17,4,0.19,3,0.14,0.19,24%,0.79,68%,56,38,1.77,0,10,66,26,10,113,0,M (C),-,-,-,-,-
- -  -,Inj,2000192698,Billy Gough,,19,D/WB (L),Unknown,"5'10""",N/A,Ashton Utd,English Northern Premier League Premier Division,€275 p/w,-,Unknown,"2,551",-,-,0.05,1.39,-,-2.17,0.08,0,-,-,2.17,0.08,-,-,1,-,5.86,-,0.67,1.34,-,3.56,24%,0.88,356.1km,12.6km,1.27,-,0.17,-,-,3.10,2.75,14.54,47%,53,1.87,78,0.21,30,84%,"1,229",43.36,"1,031",36.37,12.98,16.58,229,8.08,77,2.72,138,4.87,13,3,0.07,4,0.14,0.11,23%,0.46,79%,91,72,2.54,3,36,101,38,19,166,0,-,-,-,-,-,-
- -  -,FrA,29128162,Bailey Gooda,,28,D (C),Right Only,"5'9""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,Wnt,2000202092,Charlie Goldsmith,Fairly Determined,20,"M (C), AM (RC)",Right,"6'0""",€575 p/w,Spennymoor,Vanarama National League North,€275 p/w,30/6/2026,€0 - €16K,35,-,-,-,0.05,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,6.8km,-,-,-,0.00,-,-,-,-,-,50%,2,-,4,-,1,87%,38,-,33,-,-,-,4,-,1,-,2,-,0,-,-,0,-,-,-,-,75%,4,3,-,1,3,0,0,0,8,0,AM (C),-,-,-,-,-
- -  -,Lst,2000102664,Caleb Goldie,,21,D (RL),Right,"5'9""",-,Peterhead,cinch League 1,€140 p/w,31/5/2026,€0,66,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,11.0km,-,-,-,0.00,-,-,-,-,-,33%,0,-,2,-,1,83%,36,-,30,-,-,-,5,-,2,-,4,-,0,-,-,2,-,-,-,-,100%,4,4,-,0,0,1,1,0,6,0,D (R),-,-,-,-,-
- -  -,Loa,2000227123,Charlie Gill,Fairly Determined,21,"AM (C), ST (C)",Right,"5'8""",-,Notts Co,Sky Bet League Two,€350 p/w,30/6/2026,€1.5K - €14K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (C),-,-,-,-,-
- -  -,,29236344,Alex Gibson-Hammond,,23,AM (RLC),Right,"5'10""",-,Connah's Quay,JD Cymru Premier,€180 p/w,30/6/2027,Unknown,261,-,-,0.40,1.15,-,-0.23,0.08,0,-,-,0.23,0.08,-,-,0,-,7.24,-,-,0.34,-,12.07,7%,1.72,35.6km,12.3km,4.48,-,0.05,-,-,5.86,1.38,11.38,19%,7,2.41,4,0.00,3,81%,102,35.17,83,28.62,12.76,6.21,28,9.66,8,2.76,5,1.72,5,0,1.03,0,0.00,0.00,0%,1.72,100%,5,5,1.72,1,13,35,1,0,21,0,AM (R),-,-,-,-,-
- -  -,,2000053508,Patrick Gamble,,22,D (RLC),Right,"6'3""",-,Northampton,Sky Bet League Two,"€1,300 p/w",30/6/2027,Unknown,"1,430",-,-,0.00,0.07,"1,430.00",0.39,0.04,1,-,0.06,0.61,0.04,-,-,0,-,8.37,0.06,0.82,1.70,17%,0.82,15%,0.13,186.4km,11.7km,0.44,-,0.10,-,-,2.77,5.60,7.24,67%,25,1.57,89,0.82,6,86%,803,50.54,688,43.30,8.24,12.02,69,4.34,15,0.94,77,4.85,6,2,0.19,11,0.69,0.13,33%,0.38,71%,21,15,0.94,0,7,13,27,13,133,0,D (C),-,-,-,-,-
- -  -,Ama,2000276741,Luca Furnell-Gill,,19,D (C),Right,"6'1""",-,Cardiff Met Uni,JD Cymru Premier,N/A,-,Unknown,"2,256",-,-,0.04,1.11,-,-2.54,0.10,0,-,-,2.54,0.10,-,-,0,-,8.98,0.04,0.64,1.36,-,0.04,-,0.00,285.3km,11.4km,0.08,-,0.12,-,-,2.95,6.02,3.47,67%,29,1.16,151,0.80,7,86%,"1,355",54.06,"1,162",46.36,3.51,15.56,73,2.91,26,1.04,95,3.79,22,0,0.12,26,1.04,0.00,0%,0.88,90%,29,26,1.04,0,2,1,34,16,225,0,D (C),-,-,-,-,-
- -  -,Wnt,2000272459,Marshall Francis,Fairly Determined,20,"AM (RLC), ST (C)",Right,"5'7""",-,Barnsley,Sky Bet League One,€625 p/w,30/6/2026,€14K - €150K,36,-,-,-,0.08,-,-0.06,-,0,-,-,0.06,-,-,-,0,-,-,-,-,-,-,-,-,-,3.1km,-,-,-,0.06,-,-,-,-,-,0%,0,-,0,-,0,85%,13,-,11,-,-,-,4,-,2,-,1,-,1,1,-,0,-,-,100%,-,50%,2,1,-,0,1,1,0,0,2,0,ST (C),-,-,-,-,-
- -  -,,2000109682,Ackeme Francis-Burrell,,20,M (C),Right,"5'10""",-,Atherton Collieries,English Northern Premier League Premier Division,€450 p/w,30/6/2026,Unknown,"2,880",-,-,0.04,1.30,-,-2.98,0.09,0,-,-,2.98,0.09,-,-,2,-,0.06,0.03,-,0.03,-,0.03,-,0.00,13.1km,0.4km,0.03,-,0.21,-,-,0.06,0.00,0.34,0%,1,0.03,0,0.00,1,69%,666,20.81,461,14.41,0.16,0.16,10,0.31,1,0.03,5,0.16,14,0,0.03,0,0.00,0.00,0%,0.44,86%,69,59,1.84,0,1,1,1,0,2,0,M (C),-,-,-,-,-
- -  -,Wnt,29148347,Matty Foulds,,28,D/WB (L),Left,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (L),-,-,-,-,-
